date;year;month;rain;solarrad;meantemp;relumid;windvel;maxtemp_abs;maxtemp_mean;maxtemp_mean_abs;mintemp_abs;mintemp_mean;mintemp_mean_abs;windmaxvel_abs;windmaxvel_mean;windmaxvel_mean_abs;
31/01/2018;2018;1;53,4;360,966;21,99;85,781;2,014;30,7;22,639;30,7;14,9;21,585;14,9;8;3,545;85,781;8
28/02/2018;2018;2;144,4;425,428;21,732;75,848;2,4;32,2;22,473;32,2;13,7;21,27;13,7;6,7;4,053;75,848;6,7
31/03/2018;2018;3;252,4;346,183;22,194;83,512;2,01;32,9;22,851;32,9;12,5;21,763;12,5;9,8;3,514;83,512;9,8
30/04/2018;2018;4;20,4;394,395;20,834;75,331;2,209;31;21,528;31;13,1;20,366;13,1;5,9;3,622;75,331;5,9
31/05/2018;2018;5;67,8;327,014;17,259;75,46;2,416;29,8;17,944;29,8;2,7;16,81;2,7;7,9;3,969;75,46;7,9
30/06/2018;2018;6;106,4;217,59;14,282;83,356;2,242;26,9;15,17;26,9;-0,6;13,89;-0,6;9,8;3,732;83,356;9,8
31/07/2018;2018;7;10,6;298,99;16,414;73,866;2,371;28,2;17,303;28,2;3;15,967;3;8,6;3,875;73,866;8,6
31/08/2018;2018;8;120,8;309,404;14,305;74,858;2,338;29,7;15,001;29,7;0,7;13,87;0,7;6,7;3,798;74,858;6,7
30/09/2018;2018;9;196,4;325,28;17,965;78,322;2,499;33,4;18,822;33,4;7,3;17,528;7,3;8,9;4,174;78,322;8,9
31/10/2018;2018;10;198,4;274,837;19,407;81,933;2,567;32;20,616;32;9;19,005;9;7,5;4,258;81,933;7,5
30/11/2018;2018;11;211,6;429,713;21,763;73,208;2,586;34,3;23,158;34,3;13,9;21,287;13,9;7,6;4,466;73,208;7,6
31/12/2018;2018;12;137,8;480,453;22,711;71,294;2,312;35,6;24,162;35,6;9,8;22,197;9,8;10,1;4,005;71,294;10,1
31/01/2019;2019;1;192,4;420,321;24,01;81,041;2,271;36;25,424;36;17,9;23,541;17,9;8,9;3,971;81,041;8,9
28/02/2019;2019;2;221,2;366,214;22,063;80,539;2,307;35,7;23,538;35,7;14,1;21,604;14,1;7,6;3,957;80,539;7,6
31/03/2019;2019;3;235;353,325;21,412;79,937;2,003;33,5;22,871;33,5;13,7;20,951;13,7;8,3;3,569;79,937;8,3
30/04/2019;2019;4;144;312,537;20,218;83,843;1,947;32,2;21,687;32,2;11,5;19,771;11,5;6,9;3,262;83,843;6,9
31/05/2019;2019;5;340,2;220,911;18,14;88,167;2,133;32,1;19,637;32,1;9,2;17,751;9,2;8,7;3,62;88,167;8,7
30/06/2019;2019;6;36,2;298,117;17,534;76,124;2,25;29,4;19,12;29,4;7;17,076;7;7,6;3,731;76,124;7,6
31/07/2019;2019;7;30,2;286,828;14,775;72,527;2,259;29,1;15,932;29,1;-3,2;14,33;-3,2;6,7;3,757;72,527;6,7
31/08/2019;2019;8;36,4;359,396;16,215;67,346;2,79;31,1;16,822;31,1;-0,7;15,764;-0,7;7,8;4,552;67,346;7,8
30/09/2019;2019;9;44,8;365,899;20,064;63,925;2,877;34,7;20,68;34,7;7,7;19,621;7,7;9,4;4,747;63,925;9,4
