date;year;month;consumption;covid;order
30/09/2017;2017;9;2187;0;1
31/10/2017;2017;10;2028;0;2
30/11/2017;2017;11;2035;0;3
31/12/2017;2017;12;2281;0;4
31/01/2018;2018;1;1452;0;5
28/02/2018;2018;2;2110;0;6
31/03/2018;2018;3;3361;0;7
30/04/2018;2018;4;2721;0;8
31/05/2018;2018;5;2334;0;9
30/06/2018;2018;6;2264;0;10
31/07/2018;2018;7;1863;0;11
31/08/2018;2018;8;2700;0;12
30/09/2018;2018;9;2079;0;13
31/10/2018;2018;10;2283;0;14
30/11/2018;2018;11;2349;0;15
31/12/2018;2018;12;2416;0;16
31/01/2019;2019;1;2235;0;17
28/02/2019;2019;2;2611;0;18
31/03/2019;2019;3;2328;0;19
30/04/2019;2019;4;2482;0;20
31/05/2019;2019;5;2464;0;21
30/06/2019;2019;6;2153;0;22
31/07/2019;2019;7;1929;0;23
31/08/2019;2019;8;2139;0;24
30/09/2019;2019;9;2097;0;25
31/10/2019;2019;10;2486;0;26
30/11/2019;2019;11;2464;0;27
31/12/2019;2019;12;1726;0;28
31/01/2020;2020;1;1811;0;29
29/02/2020;2020;2;2793;0;30
31/03/2020;2020;3;2528;0,290322581;31
30/04/2020;2020;4;1087;1;32
31/05/2020;2020;5;1599;1;33
30/06/2020;2020;6;1848;1;34
31/07/2020;2020;7;2037;1;35
31/08/2020;2020;8;1829;1;36
30/09/2020;2020;9;1933;1;37
31/10/2020;2020;10;2148;1;38
30/11/2020;2020;11;1892;1;39
31/12/2020;2020;12;2382;1;40
31/01/2021;2021;1;1918;1;41
28/02/2021;2021;2;1234;1;42
31/03/2021;2021;3;1370;1;43
30/04/2021;2021;4;1287;1;44
31/05/2021;2021;5;1211;1;45
30/06/2021;2021;6;1432;1;46
31/07/2021;2021;7;2057;1;47
31/08/2021;2021;8;2057;1;48
30/09/2021;2021;9;1689;1;49
31/10/2021;2021;10;1479;1;50
30/11/2021;2021;11;2266;1;51
31/12/2021;2021;12;2589;1;52
31/01/2022;2022;1;1525;1;53
28/02/2022;2022;2;2141;1;54
31/03/2022;2022;3;3444;1;55
30/04/2022;2022;4;2771;0,633333333;56
31/05/2022;2022;5;3302;0;57
30/06/2022;2022;6;3017;0;58
31/07/2022;2022;7;2182;0;59
31/08/2022;2022;8;3052;0;60
30/09/2022;2022;9;3000;0;61
31/10/2022;2022;10;2417;0;62
30/11/2022;2022;11;2651;0;63
31/12/2022;2022;12;3351;0;64
31/01/2023;2023;1;1799;0;65
28/02/2023;2023;2;2761;0;66
31/03/2023;2023;3;3736;0;67
30/04/2023;2023;4;3661;0;68
31/05/2023;2023;5;2956;0;69
30/06/2023;2023;6;2438;0;70
31/07/2023;2023;7;1743;0;71
31/08/2023;2023;8;1919;0;72
30/09/2023;2023;9;2243;0;73
31/10/2023;2023;10;2151;0;74
30/11/2023;2023;11;2038;0;75
31/12/2023;2023;12;1565;0;76
31/01/2024;2024;1;1160;0;77
29/02/2024;2024;2;3085;0;78
31/03/2024;2024;3;4579;0;79
