date;year;month;rain;solarrad;meantemp;relumid;windvel;maxtemp_abs;maxtemp_mean;maxtemp_mean_abs;mintemp_abs;mintemp_mean;mintemp_mean_abs;windmaxvel_abs;windmaxvel_mean;windmaxvel_mean_abs
31/01/2018;2018;1;186,4;126694;19,71;91,43;2,82;29,3;20,34;25,57;9,7;19,15;16,09;14,5;5,56;9,85
28/02/2018;2018;2;82;131815;19,21;85,94;2,71;29,6;19,9;25,78;11,3;18,57;14,86;12,1;5,34;8,71
31/03/2018;2018;3;192,8;107000;20,08;90;2,18;30,9;20,76;26,64;12,1;19,45;15,83;14,4;4,43;8,38
30/04/2018;2018;4;28,6;112516;18,36;84,57;2,26;29,7;19,1;25,49;9,1;17,64;13,33;11;4,46;7,56
31/05/2018;2018;5;59;87931;14,67;87,1;2,69;26,8;15,32;21,37;-0,7;14,06;10,03;15,5;5,02;8,57
30/06/2018;2018;6;157,4;59805;12,32;90,16;2,34;23,4;12,89;18,16;-3,1;11,77;7,79;20,1;4,55;8,69
31/07/2018;2018;7;24;86160;13,96;84,44;2,44;24,7;14,61;20,42;0,7;13,36;8,99;15,9;4,63;8,85
31/08/2018;2018;8;116,8;96191;11,89;84,38;2,75;26,9;12,55;18,86;-1,6;11,27;6,35;13;5,12;8,26
30/09/2018;2018;9;178,8;105662;15,64;87,52;2,88;30,2;16,27;22,25;3,1;15,05;11,16;19,6;5,51;9,44
31/10/2018;2018;10;311,6;95351;16,96;90,2;3,1;28,8;17,49;22,37;7,5;16,48;13,07;18;5,95;9,95
30/11/2018;2018;11;162,2;138988;19,26;82,02;3,31;30,7;19,97;26,12;11,2;18,61;14,14;16,6;6,44;10,68
31/12/2018;2018;12;195,6;163562;20,21;80,03;2,56;31,4;21,03;27,76;6,9;19,4;14,49;19,1;5,2;10,6
31/01/2019;2019;1;145,2;150349;21,9;88,36;2,65;31,8;22,59;28,32;16,2;21,24;17,58;15,8;5,28;9,74
28/02/2019;2019;2;171,2;115749;19,69;89,24;2,73;30,9;20,38;25,88;13,5;19,07;15,78;14,8;5,45;9,5
31/03/2019;2019;3;134,8;114801;19,02;89,17;2,63;30;19,66;25,37;10,8;18,42;14,89;13,4;5,13;8,69
