date;date_measure;year;month;consumption;covid;order
01/09/2017;23/09/2017;2017;9;22163;0;1,0
01/10/2017;23/10/2017;2017;10;19732;0;2,0
01/11/2017;23/11/2017;2017;11;20742;0;3,0
01/12/2017;23/12/2017;2017;12;18585;0;4,0
01/01/2018;23/01/2018;2018;1;10280;0;5,0
01/02/2018;23/02/2018;2018;2;14487;0;6,0
01/03/2018;23/03/2018;2018;3;18671;0;7,0
01/04/2018;23/04/2018;2018;4;21052;0;8,0
01/05/2018;23/05/2018;2018;5;21095;0;9,0
01/06/2018;23/06/2018;2018;6;20841;0;10,0
01/07/2018;23/07/2018;2018;7;17751;0;11,0
01/08/2018;23/08/2018;2018;8;22575;0;12,0
01/09/2018;23/09/2018;2018;9;21969;0;13,0
01/10/2018;23/10/2018;2018;10;20174;0;14,0
01/11/2018;21/11/2018;2018;11;19998;0;15,0
01/12/2018;21/12/2018;2018;12;20426;0;16,0
01/01/2019;21/01/2019;2019;1;10732;0;17,0
01/02/2019;21/02/2019;2019;2;17208;0;18,0
01/03/2019;21/03/2019;2019;3;19451;0;19,0
01/04/2019;21/04/2019;2019;4;23949;0;20,0
01/05/2019;21/05/2019;2019;5;24015;0;21,0
01/06/2019;21/06/2019;2019;6;25339;0;22,0
01/07/2019;21/07/2019;2019;7;17866;0;23,0
01/08/2019;21/08/2019;2019;8;20875;0;24,0
01/09/2019;21/09/2019;2019;9;24787;0;25,0
01/10/2019;21/10/2019;2019;10;20567;0;26,0
01/11/2019;21/11/2019;2019;11;23507;0;27,0
01/12/2019;21/12/2019;2019;12;23408;0;28,0
01/01/2020;21/01/2020;2020;1;8685;0;29,0
01/02/2020;21/02/2020;2020;2;17827;0;30,0
01/03/2020;21/03/2020;2020;3;20919;0,290322581;31,0
01/04/2020;21/04/2020;2020;4;12363;1;32,0
01/05/2020;21/05/2020;2020;5;12430;1;33,0
01/06/2020;21/06/2020;2020;6;12592;1;34,0
01/07/2020;21/07/2020;2020;7;12086;1;35,0
01/08/2020;21/08/2020;2020;8;12340;1;36,0
01/09/2020;21/09/2020;2020;9;11651;1;37,0
01/10/2020;09/10/2020;2020;10;7252;1;38,0
01/11/2020;31/10/2020;2020;11;8091;1;39,0
01/12/2020;31/12/2020;2020;12;9746;1;40,0
01/01/2021;31/01/2021;2021;1;11377;1;41,0
01/02/2021;28/02/2021;2021;2;9494;1;42,0
01/03/2021;31/03/2021;2021;3;9738;1;43,0
01/04/2021;30/04/2021;2021;4;10678;1;44,0
01/05/2021;31/05/2021;2021;5;13089;1;45,0
01/06/2021;30/06/2021;2021;6;14538;1;46,0
01/07/2021;31/07/2021;2021;7;14145;1;47,0
01/08/2021;31/08/2021;2021;8;13681;1;48,0
01/09/2021;30/09/2021;2021;9;12361;1;49,0
01/10/2021;31/10/2021;2021;10;11683;1;50,0
01/11/2021;30/11/2021;2021;11;19012;1;51,0
01/12/2021;31/12/2021;2021;12;18837;1;52,0
01/01/2022;31/01/2022;2022;1;12843;1;53,0
01/02/2022;28/02/2022;2022;2;13786;1;54,0
01/03/2022;31/03/2022;2022;3;22827;1;55,0
01/04/2022;30/04/2022;2022;4;15589;0,633333333;56,0
01/05/2022;31/05/2022;2022;5;15591;0;57,0
01/06/2022;30/06/2022;2022;6;15575;0;58,0
01/07/2022;31/07/2022;2022;7;13855;0;59,0
01/08/2022;31/08/2022;2022;8;14372;0;60,0
01/09/2022;30/09/2022;2022;9;12741;0;61,0
01/10/2022;31/10/2022;2022;10;13622;0;62,0
01/11/2022;30/11/2022;2022;11;14326;0;63,0
01/12/2022;31/12/2022;2022;12;12500;0;64,0
01/01/2023;31/01/2023;2023;1;10272;0;65,0
01/02/2023;28/02/2023;2023;2;13555;0;66,0
01/03/2023;31/03/2023;2023;3;15342;0;67,0
01/04/2023;30/04/2023;2023;4;14480;0;68,0
01/05/2023;31/05/2023;2023;5;16964;0;69,0
01/06/2023;30/06/2023;2023;6;16655;0;70,0
01/07/2023;31/07/2023;2023;7;21165;0;71,0
01/08/2023;31/08/2023;2023;8;21955;0;72,0
01/09/2023;30/09/2023;2023;9;11897;0;73,0
01/10/2023;31/10/2023;2023;10;11286;0;74,0
01/11/2023;30/11/2023;2023;11;12207;0;75,0
01/12/2023;31/12/2023;2023;12;9588;0;76,0
01/01/2024;31/01/2024;2024;1;8226;0;77,0
01/02/2024;29/02/2024;2024;2;16390;0;78,0
01/03/2024;31/03/2024;2024;3;19182;0;79,0
