;#;Units;Epochs;Batch Size;Activation;Bias;Fitness;Base Seed
0;0;65;40;43;softplus;True;3767;3000
1;1;156;73;250;softplus;False;3266;3000
2;2;216;73;162;mish;True;3007;3000
3;3;65;40;218;mish;True;2890;3000
4;4;178;33;201;;False;2464;3000
5;5;178;33;201;;False;2464;3000
6;6;135;98;213;linear;True;2185;3000
7;7;282;98;5;softplus;True;2092;3000
8;8;282;98;5;softplus;True;2092;3000
9;9;282;98;5;softplus;True;2092;3000
10;10;282;98;5;softplus;True;2092;3000
11;11;282;98;5;softplus;True;2092;3000
12;12;282;98;5;softplus;True;2092;3000
13;13;282;98;5;softplus;True;2092;3000
14;14;251;19;5;linear;True;2075;3000
15;15;251;19;5;linear;True;2075;3000
16;16;251;19;5;linear;True;2075;3000
17;17;251;19;5;linear;True;2075;3000
18;18;251;19;5;linear;True;2075;3000
19;19;251;19;5;linear;True;2075;3000
20;20;251;19;5;linear;True;2075;3000
21;21;251;19;5;linear;True;2075;3000
22;22;251;19;5;linear;True;2075;3000
23;23;251;19;5;linear;True;2075;3000
24;24;251;19;5;linear;True;2075;3000
