#;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness;Particle Time start;Particle Time end;Particle Time Elapsed;Base Seed
0;214;47;16;16;3713;1722093973,7195964;1722094058,8934145;85,17381811141968;1000
1;214;47;16;16;3713;1722093973,7195964;1722094058,8934145;85,17381811141968;1000
2;298;15;13;2;3515;1722094150,9688773;1722094254,3970098;103,4281325340271;1000
3;298;15;13;2;3515;1722094150,9688773;1722094254,3970098;103,4281325340271;1000
4;298;15;13;2;3515;1722094150,9688773;1722094254,3970098;103,4281325340271;1000
5;298;15;13;2;3515;1722094150,9688773;1722094254,3970098;103,4281325340271;1000
6;298;15;13;2;3515;1722094150,9688773;1722094254,3970098;103,4281325340271;1000
7;199;47;13;1;3483;1722094674,664317;1722094798,7322135;124,06789660453796;1000
8;199;47;13;1;3483;1722094674,664317;1722094798,7322135;124,06789660453796;1000
9;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
10;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
11;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
12;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
13;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
14;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
15;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
16;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
17;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
18;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
19;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
20;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
21;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
22;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
23;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
24;159;206;13;2;3471;1722094895,3956656;1722094978,0371745;82,64150881767273;1000
