;#;C;Epsilon;Kernel;Fitness;Particle Time start;Particle Time end;Particle Time Elapsed;Base Seed
0;0;251,9918483937421;255,20053322269908;sigmoid;3943;1721630788,0796657;1721630809,3413234;21,26165771484375;3000
1;1;251,9918483937421;255,20053322269908;sigmoid;3943;1721630788,0796657;1721630809,3413234;21,26165771484375;3000
2;2;251,9918483937421;255,20053322269908;sigmoid;3943;1721630788,0796657;1721630809,3413234;21,26165771484375;3000
3;3;286,0375622581664;271,0516536469724;sigmoid;3942;1721630848,436675;1721630863,7829015;15,346226453781128;3000
4;4;286,0375622581664;271,0516536469724;sigmoid;3942;1721630848,436675;1721630863,7829015;15,346226453781128;3000
5;5;265,4396755005763;255,20053322269908;sigmoid;3941;1721630880,548323;1721630897,8831906;17,33486771583557;3000
6;6;265,4396755005763;255,20053322269908;sigmoid;3941;1721630880,548323;1721630897,8831906;17,33486771583557;3000
7;7;265,4396755005763;255,20053322269908;sigmoid;3941;1721630880,548323;1721630897,8831906;17,33486771583557;3000
8;8;265,4396755005763;255,20053322269908;sigmoid;3941;1721630880,548323;1721630897,8831906;17,33486771583557;3000
9;9;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
10;10;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
11;11;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
12;12;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
13;13;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
14;14;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
15;15;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
16;16;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
17;17;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
18;18;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
19;19;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
20;20;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
21;21;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
22;22;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
23;23;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
24;24;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
25;25;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
26;26;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
27;27;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
28;28;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
29;29;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
30;30;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
31;31;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
32;32;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
33;33;286,0375622581664;255,20053322269908;sigmoid;3939;1721630949,1007483;1721630959,9418952;10,84114670753479;3000
