;#;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness;Base Seed
0;0;27;82;gbtree;76,62135567;92,38858846;3353;1000
1;1;27;82;gbtree;76,62135567;92,38858846;3353;1000
2;2;27;82;gbtree;76,62135567;92,38858846;3353;1000
3;3;45;191;gbtree;86,29284669;22,94427902;3337;1000
4;4;17;235;gbtree;40,61518584;88,92431626;3327;1000
5;5;17;235;gbtree;40,61518584;88,92431626;3327;1000
6;6;181;103;dart;0,151537971;42,1405814;2799;1000
7;7;181;103;dart;0,151537971;42,1405814;2799;1000
8;8;181;82;dart;0,151537971;23,17352517;2729;1000
9;9;25;82;gbtree;0,151537971;97,96374859;2663;1000
10;10;25;82;gbtree;0,151537971;97,96374859;2663;1000
11;11;25;82;gbtree;0,151537971;97,96374859;2663;1000
12;12;25;82;gbtree;0,151537971;97,96374859;2663;1000
13;13;25;82;gbtree;0,151537971;97,96374859;2663;1000
14;14;25;82;gbtree;0,151537971;97,96374859;2663;1000
15;15;25;82;gbtree;0,151537971;97,96374859;2663;1000
16;16;25;82;gbtree;0,151537971;97,96374859;2663;1000
17;17;25;82;gbtree;0,151537971;97,96374859;2663;1000
18;18;25;82;gbtree;0,151537971;97,96374859;2663;1000
19;19;25;82;gbtree;0,151537971;97,96374859;2663;1000
20;20;25;82;gbtree;0,151537971;97,96374859;2663;1000
21;21;25;82;gbtree;0,151537971;97,96374859;2663;1000
22;22;25;82;gbtree;0,151537971;97,96374859;2663;1000
23;23;25;82;gbtree;0,151537971;97,96374859;2663;1000
24;24;25;82;gbtree;0,151537971;97,96374859;2663;1000
