;#;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness;Particle Time start;Particle Time end;Particle Time Elapsed;Base Seed
0;0;15;64;gbtree;64,52295194115884;30,861344862752937;3560;1721888340,49817;1721888375,6061957;35,108025550842285;2000
1;1;32;260;gbtree;67,80411964816841;36,99157709331596;3287;1721890740,9141402;1721890805,2336588;64,31951856613159;2000
2;2;32;260;gbtree;67,80411964816841;36,99157709331596;3287;1721890740,9141402;1721890805,2336588;64,31951856613159;2000
3;3;32;260;gbtree;67,80411964816841;36,99157709331596;3287;1721890740,9141402;1721890805,2336588;64,31951856613159;2000
4;4;32;260;gbtree;67,80411964816841;36,99157709331596;3287;1721890740,9141402;1721890805,2336588;64,31951856613159;2000
5;5;32;260;gbtree;67,80411964816841;36,99157709331596;3287;1721890740,9141402;1721890805,2336588;64,31951856613159;2000
6;6;153;53;gbtree;0,5566786453438777;30,26845138845061;3101;1721901154,4258766;1721901289,314613;134,88873672485352;2000
7;7;153;53;gbtree;0,5566786453438777;30,26845138845061;3101;1721901154,4258766;1721901289,314613;134,88873672485352;2000
8;8;32;260;dart;0,5566786453438777;36,99157709331596;2936;1721904199,8924482;1721904338,2217925;138,32934427261353;2000
9;9;32;260;dart;0,5566786453438777;36,99157709331596;2936;1721904199,8924482;1721904338,2217925;138,32934427261353;2000
10;10;32;260;dart;0,5566786453438777;36,99157709331596;2936;1721904199,8924482;1721904338,2217925;138,32934427261353;2000
11;11;32;260;dart;0,5566786453438777;36,99157709331596;2936;1721904199,8924482;1721904338,2217925;138,32934427261353;2000
12;12;32;260;dart;0,5566786453438777;36,99157709331596;2936;1721904199,8924482;1721904338,2217925;138,32934427261353;2000
13;13;32;260;dart;0,5566786453438777;36,99157709331596;2936;1721904199,8924482;1721904338,2217925;138,32934427261353;2000
14;14;32;260;dart;0,5566786453438777;36,99157709331596;2936;1721904199,8924482;1721904338,2217925;138,32934427261353;2000
15;15;32;260;dart;0,5566786453438777;36,99157709331596;2936;1721904199,8924482;1721904338,2217925;138,32934427261353;2000
16;16;32;260;dart;0,5566786453438777;36,99157709331596;2936;1721904199,8924482;1721904338,2217925;138,32934427261353;2000
17;17;32;260;dart;0,5566786453438777;36,99157709331596;2936;1721904199,8924482;1721904338,2217925;138,32934427261353;2000
18;18;74;100;gbtree;0,2021421013024604;4,300072640453401;2701;1721914300,6976728;1721914370,676772;69,97909903526306;2000
19;19;74;100;gbtree;0,2021421013024604;4,300072640453401;2701;1721914300,6976728;1721914370,676772;69,97909903526306;2000
20;20;74;100;gbtree;0,2021421013024604;4,300072640453401;2701;1721914300,6976728;1721914370,676772;69,97909903526306;2000
21;21;74;100;gbtree;0,2021421013024604;4,300072640453401;2701;1721914300,6976728;1721914370,676772;69,97909903526306;2000
22;22;74;100;gbtree;0,2021421013024604;4,300072640453401;2701;1721914300,6976728;1721914370,676772;69,97909903526306;2000
23;23;74;100;gbtree;0,2021421013024604;4,300072640453401;2701;1721914300,6976728;1721914370,676772;69,97909903526306;2000
24;24;74;100;gbtree;0,2021421013024604;4,300072640453401;2701;1721914300,6976728;1721914370,676772;69,97909903526306;2000
