;#;Units;Epochs;Batch Size;Activation;Bias;Fitness;Base Seed
0;0;223;18;203;softplus;False;3083;3000
1;1;223;18;203;softplus;False;3083;3000
2;2;223;18;203;softplus;False;3083;3000
3;3;186;21;237;softplus;True;2912;3000
4;4;186;21;237;softplus;True;2912;3000
5;5;186;21;237;softplus;True;2912;3000
6;6;186;21;237;softplus;True;2912;3000
7;7;186;21;237;softplus;True;2912;3000
8;8;186;21;237;softplus;True;2912;3000
9;9;186;21;237;softplus;True;2912;3000
10;10;186;21;237;softplus;True;2912;3000
11;11;186;21;237;softplus;True;2912;3000
12;12;186;21;237;softplus;True;2912;3000
13;13;188;28;161;softplus;True;2690;3000
14;14;188;28;161;softplus;True;2690;3000
15;15;188;28;161;softplus;True;2690;3000
16;16;188;28;161;softplus;True;2690;3000
17;17;188;28;161;softplus;True;2690;3000
18;18;188;28;161;softplus;True;2690;3000
19;19;188;28;161;softplus;True;2690;3000
20;20;188;28;161;softplus;True;2690;3000
21;21;239;36;144;softplus;False;2562;3000
22;22;223;24;188;softplus;False;2435;3000
23;23;223;24;188;softplus;False;2435;3000
24;24;223;24;188;softplus;False;2435;3000
