;#;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness;Particle Time start;Particle Time end;Particle Time Elapsed;Base Seed
0;0;37;35;35;16;3747;1721618636,9818113;1721618732,546256;95,56444478034972;1000
1;1;128;193;13;13;3508;1721618735,4759386;1721618815,5959442;80,12000560760498;1000
2;2;128;193;13;13;3508;1721618735,4759386;1721618815,5959442;80,12000560760498;1000
3;3;128;193;13;13;3508;1721618735,4759386;1721618815,5959442;80,12000560760498;1000
4;4;128;193;13;13;3508;1721618735,4759386;1721618815,5959442;80,12000560760498;1000
5;5;128;193;13;13;3508;1721618735,4759386;1721618815,5959442;80,12000560760498;1000
6;6;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
7;7;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
8;8;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
9;9;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
10;10;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
11;11;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
12;12;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
13;13;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
14;14;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
15;15;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
16;16;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
17;17;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
18;18;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
19;19;135;199;13;1;3448;1721619122,6979089;1721619201,714615;79,01670622825623;1000
20;20;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
21;21;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
22;22;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
23;23;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
24;24;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
25;25;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
26;26;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
27;27;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
28;28;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
29;29;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
30;30;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
31;31;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
32;32;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
33;33;126;217;13;2;3442;1721620326,1226914;1721620412,4191768;86,29648542404175;1000
