#;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness;Base Seed
0;117;187;8;9;3616;2000
1;117;187;8;9;3616;2000
2;117;187;8;9;3616;2000
3;126;207;8;11;3600;2000
4;126;207;8;11;3600;2000
5;120;195;8;10;3581;2000
6;120;195;8;10;3581;2000
7;121;191;8;12;3543;2000
8;121;191;8;12;3543;2000
9;121;191;8;12;3543;2000
10;121;191;8;12;3543;2000
11;121;191;8;12;3543;2000
12;121;191;8;12;3543;2000
13;119;191;13;14;3512;2000
14;119;191;13;14;3512;2000
15;119;191;13;14;3512;2000
16;122;137;13;13;3483;2000
17;122;137;13;13;3483;2000
18;122;137;13;13;3483;2000
19;122;137;13;13;3483;2000
20;122;137;13;13;3483;2000
21;122;137;13;13;3483;2000
22;122;137;13;13;3483;2000
23;122;137;13;13;3483;2000
24;122;137;13;13;3483;2000
