#;C;Epsilon;Kernel;Fitness;Base Seed
0;76;0;sigmoid;4025;1000
1;965;0;sigmoid;3958;1000
2;1465;1;sigmoid;3864;1000
3;1465;1;sigmoid;3864;1000
4;1465;1;sigmoid;3864;1000
5;1465;1;sigmoid;3864;1000
6;1465;1;sigmoid;3864;1000
7;1465;1;sigmoid;3864;1000
8;1465;1;sigmoid;3864;1000
9;1465;1;sigmoid;3864;1000
10;1465;1;sigmoid;3864;1000
11;1465;1;sigmoid;3864;1000
12;1465;1;sigmoid;3864;1000
13;1465;1;sigmoid;3864;1000
14;1465;1;sigmoid;3864;1000
15;1465;1;sigmoid;3864;1000
16;1465;1;sigmoid;3864;1000
17;1465;1;sigmoid;3864;1000
18;1465;1;sigmoid;3864;1000
19;1465;1;sigmoid;3864;1000
20;1465;1;sigmoid;3864;1000
21;1465;1;sigmoid;3864;1000
22;1465;1;sigmoid;3864;1000
23;1465;1;sigmoid;3864;1000
24;1465;1;sigmoid;3864;1000
