;#;C;Epsilon;Kernel;Fitness;Particle Time start;Particle Time end;Particle Time Elapsed;Base Seed
0;0;245,0;279,0;sigmoid;3945;1721627631,5074916;1721627655,151301;23,64380931854248;2000
1;1;245,0;279,0;sigmoid;3945;1721627631,5074916;1721627655,151301;23,64380931854248;2000
2;2;269,0;272,0;sigmoid;3941;1721627681,1103132;1721627700,679271;19,568957805633545;2000
3;3;269,0;272,0;sigmoid;3941;1721627681,1103132;1721627700,679271;19,568957805633545;2000
4;4;269,0;272,0;sigmoid;3941;1721627681,1103132;1721627700,679271;19,568957805633545;2000
5;5;269,0;272,0;sigmoid;3941;1721627681,1103132;1721627700,679271;19,568957805633545;2000
6;6;269,0;272,0;sigmoid;3941;1721627681,1103132;1721627700,679271;19,568957805633545;2000
7;7;269,0;272,0;sigmoid;3941;1721627681,1103132;1721627700,679271;19,568957805633545;2000
8;8;269,0;272,0;sigmoid;3941;1721627681,1103132;1721627700,679271;19,568957805633545;2000
9;9;265,0;260,0;sigmoid;3940;1721627862,5765183;1721627885,4378977;22,861379384994507;2000
10;10;265,0;260,0;sigmoid;3940;1721627862,5765183;1721627885,4378977;22,861379384994507;2000
11;11;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
12;12;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
13;13;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
14;14;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
15;15;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
16;16;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
17;17;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
18;18;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
19;19;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
20;20;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
21;21;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
22;22;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
23;23;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
24;24;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
25;25;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
26;26;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
27;27;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
28;28;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
29;29;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
30;30;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
31;31;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
32;32;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
33;33;266,0;263,0;sigmoid;3939;1721627914,707375;1721627936,1306946;21,423319578170776;2000
