;#;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness;Base Seed
0;0;35;22;gbtree;41;91;3393;1000
1;1;35;22;gbtree;41;91;3393;1000
2;2;35;23;gbtree;42;92;3335;1000
3;3;35;23;gbtree;42;92;3335;1000
4;4;35;23;gbtree;42;92;3335;1000
5;5;23;14;gbtree;37;8;3194;1000
6;6;23;14;gbtree;37;8;3194;1000
7;7;23;14;gbtree;37;8;3194;1000
8;8;23;14;gbtree;37;8;3194;1000
9;9;23;14;gbtree;37;8;3194;1000
10;10;23;14;gbtree;37;8;3194;1000
11;11;23;14;gbtree;37;8;3194;1000
12;12;23;14;gbtree;37;8;3194;1000
13;13;23;14;gbtree;37;8;3194;1000
14;14;23;14;gbtree;37;8;3194;1000
15;15;23;14;gbtree;37;8;3194;1000
16;16;23;14;gbtree;37;8;3194;1000
17;17;23;14;gbtree;37;8;3194;1000
18;18;23;14;gbtree;37;8;3194;1000
19;19;23;14;gbtree;37;8;3194;1000
20;20;21;187;gbtree;37;49;3182;1000
21;21;21;187;gbtree;37;49;3182;1000
22;22;21;187;gbtree;37;49;3182;1000
23;23;22;11;gbtree;37;65;3158;1000
24;24;22;11;gbtree;37;65;3158;1000
