;#;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness;Particle Time start;Particle Time end;Particle Time Elapsed;Base Seed
0;0;57;18;dart;93,0;42,0;3510;1721992840,2303846;1721993148,5117834;308,28139877319336;3000
1;1;38;103;gbtree;44,0;28,0;3430;1721993926,452463;1721994039,827973;113,37550973892212;3000
2;2;32;67;dart;80,0;56,0;3331;1721994919,9843116;1721995093,110628;173,12631630897522;3000
3;3;39;72;gbtree;85,0;48,0;3324;1721996414,3646853;1721996493,3332045;78,96851921081543;3000
4;4;42;32;dart;80,0;38,0;3269;1721996936,944484;1721997085,0161016;148,071617603302;3000
5;5;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
6;6;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
7;7;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
8;8;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
9;9;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
10;10;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
11;11;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
12;12;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
13;13;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
14;14;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
15;15;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
16;16;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
17;17;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
18;18;32;112;gbtree;75,0;44,0;3245;1721997364,833087;1721997422,1333256;57,300238609313965;3000
19;19;34;185;gbtree;77,0;44,0;3243;1722007463,0454912;1722007539,8337374;76,78824615478516;3000
20;20;32;134;gbtree;77,0;45,0;3238;1722007823,0929725;1722007898,4480734;75,35510087013245;3000
21;21;32;134;gbtree;77,0;45,0;3238;1722007823,0929725;1722007898,4480734;75,35510087013245;3000
22;22;32;134;gbtree;77,0;45,0;3238;1722007823,0929725;1722007898,4480734;75,35510087013245;3000
23;23;32;134;gbtree;77,0;45,0;3238;1722007823,0929725;1722007898,4480734;75,35510087013245;3000
24;24;32;134;gbtree;77,0;45,0;3238;1722007823,0929725;1722007898,4480734;75,35510087013245;3000
